date,windturbines_mw
2013-08-24,210376.0
2013-08-25,307724.0
2013-08-26,284985.0
2013-08-27,133146.0
2013-08-28,35453.0
2013-08-29,12635.0
2013-08-30,38887.0
2013-08-31,183403.0
2013-09-01,195255.0
2013-09-02,20600.0
2013-09-03,209816.0
2013-09-04,284618.0
2013-09-05,76801.0
2013-09-06,50943.0
2013-09-07,18697.0
2013-09-08,36612.0
2013-09-09,225450.0
2013-09-10,155139.0
2013-09-11,562909.0
2013-09-12,539213.0
2013-09-13,50705.0
2013-09-14,69960.0
2013-09-15,109299.0
2013-09-16,251875.0
2013-09-17,199756.0
2013-09-18,172445.0
2013-09-19,174675.0
2013-09-20,111010.0
2013-09-21,76893.0
2013-09-22,250716.0
2013-09-23,507738.0
2013-09-24,131186.0
2013-09-25,43784.0
2013-09-26,114119.0
2013-09-27,64085.0
2013-09-28,57479.0
2013-09-29,322217.0
2013-09-30,348906.0
2013-10-01,375789.0
2013-10-02,45829.0
2013-10-03,262290.0
2013-10-04,124265.0
2013-10-05,85556.0
2013-10-06,71941.0
2013-10-07,193976.0
2013-10-08,76604.0
2013-10-09,227850.0
2013-10-10,71256.0
2013-10-11,329447.0
2013-10-12,53391.0
2013-10-13,61232.0
2013-10-14,124595.0
2013-10-15,159298.0
2013-10-16,41096.0
2013-10-17,557516.0
2013-10-18,370673.0
2013-10-19,233896.0
2013-10-20,238626.0
2013-10-21,246232.0
2013-10-22,272885.0
2013-10-23,445434.0
2013-10-24,237975.0
2013-10-25,149890.0
2013-10-26,299636.0
2013-10-27,671977.0
2013-10-28,825129.0
2013-10-29,591260.0
2013-10-30,390913.0
2013-10-31,242717.0
2013-11-01,171996.0
2013-11-02,242530.0
2013-11-03,118772.0
2013-11-04,175151.0
2013-11-05,47810.0
2013-11-06,28164.0
2013-11-07,172892.0
2013-11-08,165636.0
2013-11-09,176348.0
2013-11-10,311166.0
2013-11-11,102881.0
2013-11-12,45750.0
2013-11-13,151752.0
2013-11-14,58204.0
2013-11-15,16036.0
2013-11-16,137722.0
2013-11-17,56201.0
2013-11-18,105753.0
2013-11-19,58637.0
2013-11-20,118221.0
2013-11-21,69814.0
2013-11-22,121050.0
2013-11-23,81191.0
2013-11-24,295841.0
2013-11-25,286977.0
2013-11-26,118341.0
2013-11-27,330193.0
2013-11-28,544504.0
2013-11-29,478585.0
2013-11-30,246442.0
2013-12-01,74096.0
2013-12-02,96502.0
2013-12-03,49275.0
2013-12-04,200063.0
2013-12-05,113674.0
2013-12-06,44089.0
2013-12-07,90486.0
2013-12-08,163721.0
2013-12-09,15908.0
2013-12-10,204645.0
2013-12-11,187409.0
2013-12-12,68486.0
2013-12-13,91429.0
2013-12-14,176026.0
2013-12-15,436142.0
2013-12-16,453583.0
2013-12-17,258174.0
2013-12-18,199372.0
2013-12-19,457781.0
2013-12-20,267248.0
2013-12-21,660029.0
2013-12-22,732583.0
2013-12-23,554517.0
2013-12-24,842766.0
2013-12-25,352899.0
2013-12-26,53699.0
2013-12-27,556294.0
2013-12-28,447434.0
2013-12-29,343178.0
2013-12-30,333859.0
2013-12-31,285661.0
2014-01-01,301453.0
2014-01-02,402075.0
2014-01-03,70994.0
2014-01-04,63387.0
2014-01-05,100002.0
2014-01-06,53385.0
2014-01-07,94092.0
2014-01-08,46896.0
2014-01-09,62144.0
2014-01-10,4281.0
2014-01-11,77936.0
2014-01-12,541455.0
2014-01-13,140464.0
2014-01-14,12676.0
2014-01-15,49150.0
2014-01-16,266023.0
